id	symbol	display_name	hold_effect	hold_effect_param	item_type	category	family_group	rationale
0	ITEM_NONE	None	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
1	ITEM_POKE_BALL	Poké Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
2	ITEM_GREAT_BALL	Great Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
3	ITEM_ULTRA_BALL	Ultra Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
4	ITEM_MASTER_BALL	Master Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
5	ITEM_PREMIER_BALL	Premier Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
6	ITEM_HEAL_BALL	Heal Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
7	ITEM_NET_BALL	Net Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
8	ITEM_NEST_BALL	Nest Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
9	ITEM_DIVE_BALL	Dive Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
10	ITEM_DUSK_BALL	Dusk Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
11	ITEM_TIMER_BALL	Timer Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
12	ITEM_QUICK_BALL	Quick Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
13	ITEM_REPEAT_BALL	Repeat Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
14	ITEM_LUXURY_BALL	Luxury Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
15	ITEM_LEVEL_BALL	Level Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
16	ITEM_LURE_BALL	Lure Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
17	ITEM_MOON_BALL	Moon Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
18	ITEM_FRIEND_BALL	Friend Ball	HOLD_EFFECT_NONE	0		PROVEN_NO_ORDINARY_DAMAGE_EFFECT	no_battle_effect	Every pinned reference is outside battle damage (prize money, friendship, EXP, wild encounters, fleeing, evolution/breeding) or the hold effect has no battle reference at all.
