id	symbol	display_name	current_category	proposed_category	evidence	rationale
0	ABILITY_NONE	None	PROVEN_NO_DAMAGE_EFFECT	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:10374, src/battle_util.c:10435, src/battle_util.c:2126, src/battle_util.c:2143	Pinned description: No special ability. Pinned battle paths affect no direct-damage operand or modifier; ability identity is read from the live battler.
1	ABILITY_STENCH	Stench	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:4375, src/battle_hold_effects.c:214, src/wild_encounter.c:735, src/wild_encounter.c:737	Pinned description: May cause a foe to flinch. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
2	ABILITY_DRIZZLE	Drizzle	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:3354, src/battle_ai_util.c:1934	Pinned description: Summons rain in battle. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
3	ABILITY_SPEED_BOOST	Speed Boost	UNCLASSIFIED	UNCLASSIFIED	src/battle_util.c:3738, src/battle_end_turn.c:1276, src/battle_ai_util.c:2353, src/battle_ai_util.c:6156	Pinned description: Gradually boosts Speed. Unresolved: no source-backed safety decision yet; fail closed.
4	ABILITY_BATTLE_ARMOR	Battle Armor	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:8056, src/battle_util.c:8108, src/battle_ai_main.c:2357	Pinned description: Blocks critical hits. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
5	ABILITY_STURDY	Sturdy	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:10597, src/battle_util.c:8186, src/battle_util.c:8189, src/battle_util.c:8190	Pinned description: Negates 1-hit KO attacks. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
6	ABILITY_DAMP	Damp	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:4073, src/battle_move_resolution.c:1461, src/battle_ai_main.c:1433, src/battle_ai_util.c:682	Pinned description: Prevents self-destruction. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
7	ABILITY_LIMBER	Limber	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:5432, src/battle_util.c:9061, src/battle_pike.c:962	Pinned description: Prevents paralysis. Reviewed pinned ability uses affect status, accuracy, switching, priority, PP, secondary/indirect effects, or overworld behavior; no ordinary direct-damage operand, type, immunity, field, or held-item modifier is changed by the effective ability itself.
8	ABILITY_SAND_VEIL	Sand Veil	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:10500, src/battle_end_turn.c:139, src/battle_ai_field_statuses.c:155, src/battle_ai_switch.c:1595	Pinned description: Ups evasion in a sandstorm. battle_util.c GetTotalAccuracy changes evasion in sand; no damage operand or type/immunity change.
9	ABILITY_STATIC	Static	UNCLASSIFIED	PROVEN_NO_DAMAGE_EFFECT	src/battle_util.c:4168, src/wild_encounter.c:610, src/wild_encounter.c:630	Pinned description: Paralyzes on contact. Pinned use affects a secondary contact/status, end-turn recovery, speed after a hit, or accuracy; the live HP/status/stat snapshot captures earlier effects and the ability adds no modifier to this ordinary direct hit.
10	ABILITY_VOLT_ABSORB	Volt Absorb	UNCLASSIFIED	UNSUPPORTED_DAMAGE_RELEVANT	src/battle_util.c:2444, src/battle_ai_main.c:3534, src/battle_ai_main.c:5596, src/battle_ai_main.c:5657	Pinned description: Turns electricity into HP. Pinned ability can alter a damage operand, damage/type/immunity result, field, effective form, stat, held-item behavior, or ability state; current calculator does not reproduce every applicable trigger and rounding path.
